Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
162.159.138.232-192.168.1.68-443-61884-17,192.168.1.68,61884,162.159.138.232,443,17,11/05/2025 06:37:30 PM,502797,9,10,2392.0,4330.0,1250.0,43.0,265.77777777777777,435.97212576544894,1250.0,22.0,433.0,558.3348258686518,13369.21262457811,37.78861051279144,27933.166666666668,114811.1149083572,487880.0,0.0,502720.0,62840.0,171856.37394056702,488080.0,16.0,502597.0,55844.11111111111,162068.56677610593,487941.0,0.0,0,0,0,0,72,80,17.89986813763805,19.88874237515339,22.0,1250.0,398.6,524.2390374829527,274826.5684210526,0,0,0,0,0,0,0,0,1.0,419.57894736842104,265.77777777777777,433.0,0,0,0,0,0,0,9,2392,10,4330,-1,-1,9,0,0,0,0,0,0,0,0,0,No Label
154.57.164.101-192.168.1.68-1337-65502-17,192.168.1.68,65502,154.57.164.101,1337,17,11/05/2025 06:37:27 PM,9731825,30,31,3480.0,3116.0,116.0,116.0,116.0,0.0,116.0,100.0,100.51612903225805,2.8736848324283972,677.7762649862692,6.268094627677748,162197.08333333337,22805.149740526875,175290.0,618.0,9402003.0,324207.0,31851.94613475648,330495.0,158598.0,9559698.0,318656.60000000003,43844.279654878264,333793.0,156294.0,0,0,0,0,240,248,3.082669489021843,3.1854251386559045,100.0,116.0,108.25806451612905,8.061109804143468,64.98149127445795,0,0,0,0,0,0,0,0,1.0,110.0327868852459,116.0,100.51612903225806,0,0,0,0,0,0,30,3480,31,3116,-1,-1,30,0,0,0,0,0,0,0,0,0,No Label
192.168.1.68-34.237.73.95-50341-443-6,192.168.1.68,50341,34.237.73.95,443,6,11/05/2025 06:37:27 PM,275745,1,2,0.0,505.0,0.0,0.0,0.0,0.0,263.0,242.0,252.5,14.849242404917497,1831.4022013091806,10.87961703748028,137872.5,137841.27460416203,235341.0,40404.0,0,0,0,0,0,235341.0,235341.0,0.0,235341.0,235341.0,0,1,0,0,20,40,3.6265390124934265,7.253078024986853,0.0,263.0,186.75,124.89295416475663,15598.25,0,0,0,1,1,0,0,0,2.0,249.0,0.0,252.5,0,0,0,0,0,0,1,0,2,505,-1,1546,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.68-34.0.227.15-54684-50002-17,34.0.227.15,50002,192.168.1.68,54684,17,11/05/2025 06:37:27 PM,7999261,9,5,464.0,228.0,72.0,8.0,51.55555555555556,18.487232831816062,72.0,8.0,45.6,26.623298067669978,86.50799117568485,1.7501616711843757,615327.7692307692,401470.6117362253,999778.0,31676.0,6999512.0,874938.9999999999,253014.2823636642,1001003.0,308841.0,4579851.0,1144962.75,942391.6043246477,1967831.0,137233.0,0,0,0,0,72,40,1.1251039314756701,0.6250577397087056,8.0,72.0,50.93333333333333,20.974360765558735,439.92380952380955,0,0,0,0,0,0,0,0,0.0,54.57142857142857,51.55555555555556,45.6,0,0,0,0,0,0,9,464,5,228,-1,-1,9,0,0,0,0,0,0,0,0,0,No Label
192.168.1.68-34.107.243.93-51159-443-6,34.107.243.93,443,192.168.1.68,51159,6,11/05/2025 06:37:27 PM,13,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,153846.15384615384,13.0,0.0,13.0,13.0,0,0,0,0,0,13.0,13.0,0.0,13.0,13.0,0,0,0,0,0,40,0.0,153846.15384615384,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
162.159.200.1-192.168.1.68-123-61885-17,192.168.1.68,61885,162.159.200.1,123,17,11/05/2025 06:37:31 PM,5578,0,2,0.0,96.0,0,0,0,0,48.0,48.0,48.0,0.0,17210.469702402297,358.5514521333812,5578.0,0.0,5578.0,5578.0,0,0,0,0,0,5578.0,5578.0,0.0,5578.0,5578.0,0,0,0,0,0,16,0.0,358.5514521333812,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,72.0,0.0,48.0,0,0,0,0,0,0,0,0,2,96,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.98.137-102.2.0.206-0-0-0,134.221.98.137,0,102.2.0.206,0,0,11/05/2025 06:37:28 PM,4998727,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4001018659350671,4998727.0,0.0,4998727.0,4998727.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20005093296753354,0.20005093296753354,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.68-34.0.227.15-58189-50002-17,192.168.1.68,58189,34.0.227.15,50002,17,11/05/2025 06:37:35 PM,1485869,2,4,68.0,208.0,60.0,8.0,34.0,36.76955262170047,74.0,8.0,52.0,31.11269837220809,185.74988777610946,4.038041038611075,297173.8,386383.2466751114,946200.0,37362.0,983562.0,983562.0,0.0,983562.0,983562.0,1485869.0,495289.6666666667,704874.1599366041,1307379.0,42014.0,0,0,0,0,16,32,1.346013679537025,2.69202735907405,8.0,74.0,50.00000000000001,29.888682361946525,893.3333333333334,0,0,0,0,0,0,0,0,2.0,58.333333333333336,34.0,52.0,0,0,0,0,0,0,2,68,4,208,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,11/05/2025 06:37:31 PM,5277109,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5684930896822483,2638554.5,2041081.4015644991,4081817.0,1195292.0,4081817.0,4081817.0,0.0,4081817.0,4081817.0,0,0,0,0,0,0,0,0,0,0,0,0.3789953931214989,0.18949769656074944,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
140.82.113.26-192.168.1.68-443-51146-6,140.82.113.26,443,192.168.1.68,51146,6,11/05/2025 06:37:33 PM,303683,1,2,0.0,54.0,0.0,0.0,0.0,0.0,29.0,25.0,27.0,2.8284271247461903,177.81699996377802,9.878722220209891,151841.5,214521.3481695936,303531.0,152.0,0,0,0,0,0,152.0,152.0,0.0,152.0,152.0,0,1,0,0,20,40,3.29290740673663,6.58581481347326,0.0,29.0,19.75,13.301002468485848,176.91666666666663,0,0,0,1,1,0,0,0,2.0,26.333333333333332,0.0,27.0,0,0,0,0,0,0,1,0,2,54,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
