Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.16.107-20.205.243.166-64795-443-6,20.205.243.166,443,192.168.16.107,64795,6,11/05/2025 05:29:24 PM,543,0,2,0.0,39.0,0,0,0,0,39.0,0.0,19.5,27.577164466275352,71823.2044198895,3683.241252302026,543.0,0.0,543.0,543.0,0,0,0,0,0,543.0,543.0,0.0,543.0,543.0,0,1,0,0,0,40,0.0,3683.241252302026,0.0,39.0,26.0,22.516660498395403,507.0,0,0,0,1,1,0,0,0,0.0,39.0,0.0,19.5,0,0,0,0,0,0,0,0,2,39,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-20.205.243.166-64795-443-6,20.205.243.166,443,192.168.16.107,64795,6,11/05/2025 05:29:24 PM,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,76,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-101.33.47.206-64883-8081-6,192.168.16.107,64883,101.33.47.206,8081,6,11/05/2025 05:29:24 PM,89285,3,2,1130.0,0.0,1130.0,0.0,376.66666666666663,652.4058041842771,0.0,0.0,0.0,0.0,12656.10124880999,56.000448003584026,22321.25,44426.503834047835,88961.0,89.0,222.0,111.0,31.11269837220809,133.0,89.0,88961.0,88961.0,0.0,88961.0,88961.0,0,0,0,0,60,56,33.60026880215042,22.40017920143361,0.0,1130.0,188.33333333333334,461.3205682241652,212816.66666666666,0,1,0,0,0,0,0,0,0.0,226.0,376.6666666666667,0.0,0,0,0,0,0,0,3,1130,2,0,-1,42340,1,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-101.33.47.206-64884-8081-6,192.168.16.107,64884,101.33.47.206,8081,6,11/05/2025 05:29:24 PM,93614,3,2,1146.0,0.0,1146.0,0.0,382.0,661.6434084913111,0.0,0.0,0.0,0.0,12241.758711303864,53.410814621744606,23403.5,46589.699988302134,93288.0,44.0,224.0,112.0,96.16652224137046,180.0,44.0,93288.0,93288.0,0.0,93288.0,93288.0,0,0,0,0,60,56,32.04648877304677,21.364325848697845,0.0,1146.0,191.0,467.852540871587,218886.0,0,1,0,0,0,0,0,0,0.0,229.2,382.0,0.0,0,0,0,0,0,0,3,1146,2,0,-1,42340,1,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-101.33.47.206-64883-8081-6,101.33.47.206,8081,192.168.16.107,64883,6,11/05/2025 05:29:24 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,41810,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-101.33.47.206-64884-8081-6,101.33.47.206,8081,192.168.16.107,64884,6,11/05/2025 05:29:24 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,41754,0,0,0,0,0,0,0,0,0,0,No Label
157.255.4.39-192.168.16.107-443-64882-6,192.168.16.107,64882,157.255.4.39,443,6,11/05/2025 05:29:24 PM,1736790,4,4,298.0,20.0,298.0,0.0,74.5,149.0,20.0,0.0,5.0,10.0,183.0964019829686,4.606198792024367,248112.85714285713,420668.49022852053,1161104.0,0.0,1477434.0,492478.0,600219.9347764117,1161104.0,151.0,534557.0,178185.6666666667,154524.5768812629,275356.0,0.0,0,0,0,0,80,104,2.3030993960121835,2.3030993960121835,0.0,298.0,35.333333333333336,98.72183142547549,9745.999999999998,0,1,0,0,0,0,0,0,1.0,39.75,74.5,5.0,0,0,0,0,0,0,4,298,4,20,-1,131,1,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-54.187.109.132-64862-443-6,54.187.109.132,443,192.168.16.107,64862,6,11/05/2025 05:29:27 PM,0,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,40,20,0.0,0.0,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,150,1,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-54.187.109.132-64862-443-6,192.168.16.107,64862,54.187.109.132,443,6,11/05/2025 05:29:27 PM,285,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7017.543859649123,285.0,0.0,285.0,285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3508.7719298245615,3508.7719298245615,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,252,0,0,0,0,0,0,0,0,0,0,No Label
192.168.16.107-54.187.109.132-64861-443-6,54.187.109.132,443,192.168.16.107,64861,6,11/05/2025 05:29:27 PM,0,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,40,20,0.0,0.0,0.0,39.0,25.5,18.411952639521967,339.0,0,0,0,1,1,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,2,24,1,39,-1,187,1,0,0,0,0,0,0,0,0,0,No Label
