Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.66-34.110.164.207-51877-443-6,192.168.1.66,51877,34.110.164.207,443,6,15/06/2025 06:56:57 PM,16123,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,124.04639335111332,16123.0,0.0,16123.0,16123.0,0,0,0,0,0,16123.0,16123.0,0.0,16123.0,16123.0,0,0,0,0,0,40,0.0,124.04639335111332,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,1046,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-44.241.58.134-51888-443-6,192.168.1.66,51888,44.241.58.134,443,6,15/06/2025 06:56:58 PM,16074196,6,10,126.0,4363.0,126.0,0.0,21.0,51.43928459844674,1412.0,0.0,436.3,673.5677892140232,279.2674669389374,0.9953841548280237,1071613.0666666667,2841598.772160979,1.027029E7,0.0,1.0861014E7,2172202.8,4551688.556655617,1.0310778E7,322.0,1.6074196E7,1786021.7777777778,3585193.376706924,1.0312402E7,0.0,0,0,0,0,120,224,0.3732690580605089,0.6221150967675149,0.0,1412.0,264.05882352941177,548.7107013933019,301083.43382352934,0,1,0,0,0,0,0,0,1.0,280.5625,21.0,436.3,0,0,0,0,0,0,6,126,10,4363,-1,119,1,0,803972.0,0.0,803972.0,803972.0,1.027029E7,0.0,1.027029E7,1.027029E7,No Label
192.168.1.66-44.241.58.134-51887-443-6,192.168.1.66,51887,44.241.58.134,443,6,15/06/2025 06:56:58 PM,16332172,8,13,1159.0,7780.0,1033.0,0.0,144.875,361.5551479373513,1412.0,0.0,598.4615384615383,687.3818220107142,547.3246301839094,1.2858057091242978,816608.6,2471628.732602396,1.0223351E7,0.0,1.1106272E7,1586610.285714286,3828125.4723239206,1.0263181E7,262.0,1.6332172E7,1361014.3333333333,3139190.0022502425,1.0263723E7,0.0,0,0,0,0,160,284,0.4898307463330658,0.7959749627912319,0.0,1412.0,406.3181818181818,608.5440381109212,370325.84632034635,0,1,0,0,0,0,0,0,1.0,425.6666666666667,144.875,598.4615384615385,0,0,0,0,0,0,8,1159,13,7780,-1,246,2,0,1108878.0,0.0,1108878.0,1108878.0,1.0223351E7,0.0,1.0223351E7,1.0223351E7,No Label
192.168.1.66-44.241.58.134-51888-443-6,192.168.1.66,51888,44.241.58.134,443,6,15/06/2025 06:57:14 PM,8012048,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2496240661563685,8012048.0,0.0,8012048.0,8012048.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.12481203307818425,0.12481203307818425,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-44.241.58.134-51887-443-6,192.168.1.66,51887,44.241.58.134,443,6,15/06/2025 06:57:14 PM,8004437,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24986142060959443,8004437.0,0.0,8004437.0,8004437.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.12493071030479722,0.12493071030479722,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-44.241.58.134-51896-443-6,192.168.1.66,51896,44.241.58.134,443,6,15/06/2025 06:57:22 PM,12284928,6,7,1043.0,325.0,992.0,0.0,173.83333333333331,401.3369739591241,149.0,0.0,46.42857142857143,69.63920625351102,111.35596399099774,1.0582072601483703,1023744.0,2886796.9838851434,1.011744E7,142.0,1.20214E7,2404280.0,4362481.250970771,1.015833E7,193.0,1.0950593E7,1825098.8333333333,4084697.1637602425,1.0158841E7,142.0,0,0,0,0,120,164,0.4884033508377094,0.5698039093106609,0.0,992.0,97.7142857142857,262.70469779156645,69013.75824175825,0,1,0,0,0,0,0,0,1.0,105.23076923076923,173.83333333333334,46.42857142857143,0,0,0,0,0,0,6,1043,7,325,-1,246,2,0,833153.0,0.0,833153.0,833153.0,1.011744E7,0.0,1.011744E7,1.011744E7,No Label
192.168.1.66-44.241.58.134-51896-443-6,192.168.1.66,51896,44.241.58.134,443,6,15/06/2025 06:57:34 PM,261100,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.659900421294523,261100.0,0.0,261100.0,261100.0,0,0,0,0,0,261100.0,261100.0,0.0,261100.0,261100.0,0,0,0,0,0,40,0.0,7.659900421294523,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,246,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-44.241.58.134-51897-443-6,192.168.1.66,51897,44.241.58.134,443,6,15/06/2025 06:57:22 PM,16695134,3,7,51.0,176.0,51.0,0.0,17.0,29.444863728670914,145.0,0.0,25.142857142857142,54.09999559897878,13.5967761624435,0.5989769234556608,1855014.888888889,3745575.9036517483,1.0880852E7,90.0,1.1479029E7,5739514.5,7750781.9834556375,1.1220145E7,258884.0,1.6695134E7,2782522.3333333335,4408164.186628519,1.0880852E7,1205.0,0,0,0,0,60,156,0.17969307703669823,0.41928384641896255,0.0,145.0,20.636363636363637,44.61226900141424,1990.2545454545457,0,1,0,0,0,0,0,0,2.0,22.7,17.0,25.142857142857142,0,0,0,0,0,0,3,51,7,176,-1,43772,1,0,814313.0,0.0,814313.0,814313.0,1.0880852E7,0.0,1.0880852E7,1.0880852E7,No Label
192.168.1.66-44.241.58.134-51897-443-6,192.168.1.66,51897,44.241.58.134,443,6,15/06/2025 06:57:39 PM,403618,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95518039334222,403618.0,0.0,403618.0,403618.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.47759019667111,2.47759019667111,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65359,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-44.241.58.134-51910-443-6,192.168.1.66,51910,44.241.58.134,443,6,15/06/2025 06:57:41 PM,16226263,3,7,51.0,176.0,51.0,0.0,17.0,29.444863728670914,145.0,0.0,25.142857142857142,54.09999559897878,13.989666012439217,0.6162848463629611,1802918.111111111,3602158.8487351043,1.0401239E7,81.0,1.1001147E7,5500573.5,7411031.317231125,1.0740964E7,260183.0,1.6226263E7,2704377.166666667,4232523.553287491,1.0401239E7,104.0,0,0,0,0,60,164,0.18488545390888833,0.43139939245407277,0.0,145.0,20.636363636363637,44.61226900141424,1990.2545454545457,0,1,0,0,0,0,0,0,2.0,22.7,17.0,25.142857142857142,0,0,0,0,0,0,3,51,7,176,-1,119,1,0,820842.0,0.0,820842.0,820842.0,1.0401239E7,0.0,1.0401239E7,1.0401239E7,No Label
