Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.66-40.126.16.167-55893-443-6,192.168.1.66,55893,40.126.16.167,443,6,16/06/2025 05:22:34 PM,137819,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14.511787199152511,137819.0,0.0,137819.0,137819.0,0,0,0,0,0,137819.0,137819.0,0.0,137819.0,137819.0,0,0,0,0,0,40,0.0,14.511787199152511,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,16385,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-52.205.156.127-55929-443-6,192.168.1.66,55929,52.205.156.127,443,6,16/06/2025 05:22:47 PM,9351091,6,10,64.0,5757.0,64.0,0.0,10.666666666666668,26.127890589687233,1412.0,0.0,575.7,694.5191862000646,622.494209499191,1.711030295823236,623406.0666666667,2163095.7350398614,8429320.0,11.0,9044060.0,1808812.0,3704136.1079262462,8429320.0,139.0,921759.0,102417.66666666667,153133.3618631159,306940.0,59.0,0,0,0,0,120,224,0.6416363609337135,1.0693939348895225,0.0,1412.0,342.41176470588243,595.1068243205931,354152.1323529412,0,1,0,0,0,0,0,0,1.0,363.8125,10.666666666666666,575.7,0,0,0,0,0,0,6,64,10,5757,-1,121,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-52.205.156.127-55928-443-6,192.168.1.66,55928,52.205.156.127,443,6,16/06/2025 05:22:46 PM,9602289,12,14,585.0,5929.0,340.0,0.0,48.75,97.21870845021175,1412.0,0.0,423.49999999999994,629.9613846529375,678.3799154555752,2.707687719042824,384091.56,1271108.0415750162,6237635.0,0.0,9299640.0,845421.8181818181,1886789.953185029,6237635.0,44.0,3324163.0,255704.84615384613,562723.0103463938,2062743.0,0.0,0,0,0,0,240,304,1.249702024173611,1.457985694869213,0.0,1412.0,241.25925925925927,489.54143319520443,239650.8148148148,0,1,0,0,0,0,0,0,1.0,250.53846153846155,48.75,423.5,0,0,0,0,0,0,12,585,14,5929,-1,279,5,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-52.205.156.127-55929-443-6,52.205.156.127,443,192.168.1.66,55929,6,16/06/2025 05:22:56 PM,110,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,218181.81818181818,27272.727272727272,55.0,46.66904755831214,88.0,22.0,0,0,0,0,0,22.0,22.0,0.0,22.0,22.0,0,1,0,0,20,40,9090.90909090909,18181.81818181818,0.0,24.0,12.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-52.205.156.127-55928-443-6,52.205.156.127,443,192.168.1.66,55928,6,16/06/2025 05:22:56 PM,110,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,218181.81818181818,27272.727272727272,55.0,55.154328932550705,94.0,16.0,0,0,0,0,0,16.0,16.0,0.0,16.0,16.0,0,1,0,0,20,40,9090.90909090909,18181.81818181818,0.0,24.0,12.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-54.249.201.170-55933-443-6,192.168.1.66,55933,54.249.201.170,443,6,16/06/2025 05:23:03 PM,425985,5,11,530.0,604.0,530.0,0.0,106.0,237.0232056149777,209.0,0.0,54.909090909090914,73.67557878354881,2662.0655656889326,37.5600079815017,28398.999999999996,57374.532006805945,140541.0,11.0,286782.0,71695.5,82478.44346454008,144419.0,244.0,425985.0,42598.5,66772.5449771253,140851.0,60.0,0,0,0,0,100,244,11.73750249421928,25.822505487282417,0.0,530.0,66.70588235294116,135.25474331140958,18293.845588235297,0,1,0,0,0,0,0,0,2.0,70.875,106.0,54.90909090909091,0,0,0,0,0,0,5,530,11,604,-1,13,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-54.249.201.170-55933-443-6,192.168.1.66,55933,54.249.201.170,443,6,16/06/2025 05:23:03 PM,45817,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,523.8230351179693,65.47787938974616,22908.5,31499.48578151713,45182.0,635.0,45182.0,45182.0,0.0,45182.0,45182.0,0,0,0,0,0,0,0,0,0,40,20,43.65191959316411,21.825959796582055,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-54.249.201.170-55934-443-6,192.168.1.66,55934,54.249.201.170,443,6,16/06/2025 05:23:03 PM,436227,5,11,530.0,604.0,530.0,0.0,106.0,237.0232056149777,209.0,0.0,54.909090909090914,73.67557878354881,2599.563988473891,36.67815151285913,29081.800000000003,58543.315673342004,142895.0,9.0,293369.0,73342.25,84508.86400993685,151955.0,188.0,436227.0,43622.7,68113.29989404092,142904.0,60.0,0,0,0,0,100,244,11.461922347768478,25.216229165090652,0.0,530.0,66.70588235294116,135.25474331140958,18293.845588235297,0,1,0,0,0,0,0,0,2.0,70.875,106.0,54.90909090909091,0,0,0,0,0,0,5,530,11,604,-1,16,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-54.249.201.170-55934-443-6,192.168.1.66,55934,54.249.201.170,443,6,16/06/2025 05:23:04 PM,605,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,39669.42148760331,4958.677685950413,302.5,136.47160876900367,399.0,206.0,206.0,206.0,0.0,206.0,206.0,0,0,0,0,0,0,0,0,0,40,20,3305.785123966942,1652.892561983471,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.66-66.254.114.171-55941-443-6,192.168.1.66,55941,66.254.114.171,443,6,16/06/2025 05:23:29 PM,365637,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.939811889934553,121879.0,139948.38683243192,274751.0,76.0,90810.0,90810.0,0.0,90810.0,90810.0,274751.0,274751.0,0.0,274751.0,274751.0,0,0,0,0,40,64,5.469905944967277,5.469905944967277,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
